Month,residential cents per kilowatthour,commercial cents per kilowatthour,industrial cents per kilowatthour
01/11/2023,29.41,23.14,18.55
01/10/2023,26.72,24.47,20.41
01/09/2023,29.99,27.34,20.72
01/08/2023,29.84,28.11,22.05
01/07/2023,29.38,26.64,20.92
01/06/2023,31.25,24.24,19.31
01/05/2023,29.8,21.83,17.91
01/04/2023,29.56,21.39,16
01/03/2023,28.12,21.28,17.11
01/02/2023,27.26,21.34,15.93
01/01/2023,26.48,21.97,16.76
01/12/2022,26.04,21.02,17.03
01/11/2022,25.52,22.09,16.64
01/10/2022,25.76,22.79,18.41
01/09/2022,25.96,24.2,19.3
01/08/2022,26.49,24.71,19.58
01/07/2022,26.18,23.83,19.79
01/06/2022,28.16,22.59,17.54
01/05/2022,27.21,19.84,16.07
01/04/2022,23.28,21.05,15.39
01/03/2022,26.37,19.36,14.95
01/02/2022,25.34,19.46,13.98
01/01/2022,23.07,18.54,13.58
01/12/2021,23.38,18.37,13.79
01/11/2021,23.87,17.6,14.51
01/10/2021,22.02,20.25,15.88
01/09/2021,23.49,21.79,16.81
01/08/2021,23.39,21.31,16.7
01/07/2021,22.49,20.93,17.01
01/06/2021,23.13,20.28,15.37
01/05/2021,22.74,17.76,13.69
01/04/2021,23.37,18.75,12.99
01/03/2021,22.04,16.67,12.99
01/02/2021,22.5,17.7,12.91
01/01/2021,21.45,16.65,12.7
01/12/2020,20.42,16.07,12.82
01/11/2020,22.2,17.45,14.38
01/10/2020,20.78,18.42,15.64
01/09/2020,21.16,20.03,16.17
01/08/2020,20.69,21.01,16.3
01/07/2020,20.03,19.54,16.28
01/06/2020,19.71,18.99,16.01
01/05/2020,18.61,16.57,13.51
01/04/2020,20.43,14.89,11.87
01/03/2020,20.33,15.08,12.18
01/02/2020,21.67,15.78,11.86
01/01/2020,19.91,15.29,11.8
01/12/2019,19.15,15.09,12.14
01/11/2019,20.11,16.81,14.15
01/10/2019,14.9,17.75,14.96
01/09/2019,20.65,19.07,15.1
01/08/2019,19.78,18.78,15.09
01/07/2019,19.88,18.77,14.98
01/06/2019,20.77,18.14,14.92
01/05/2019,18.82,15.5,12.72
01/04/2019,17.97,14.75,10.9
01/03/2019,19.26,14.44,11.12
01/02/2019,19.79,15.01,11.47
01/01/2019,18.31,14.74,11.17
01/12/2018,19.45,15.23,11.8
01/11/2018,19.51,15.83,13.05
01/10/2018,15.66,17.23,14.35
01/09/2018,19.31,17.45,14.4
01/08/2018,19.85,18.74,15.17
01/07/2018,19.59,18.59,15.15
01/06/2018,19.81,17.72,14.67
01/05/2018,18.85,15.52,12.53
01/04/2018,16.03,14.7,10.91
01/03/2018,18.44,14.56,11.73
01/02/2018,19.1,14.64,11.32
01/01/2018,19.1,14.45,11.13
01/12/2017,18.62,14.29,11.21
01/11/2017,18.71,15.14,12.76
01/10/2017,15.7,16.9,14.47
