Month,Wind thousand MWh,Coal thousand MWh,Geothermal thousand MWh,Biomass thousand MWh,Natural gas thousand MWh,Nuclear thousand MWh,Hydroelectric thousand MWh,Solar thousand MWh
01/11/2023,36807.7794,51229.15606,1409.60572,3881.44002,135211.8714,62257.644,18100.70117,15212.96653
01/10/2023,36422.46732,50954.14922,1414.29645,3499.23867,140961.7289,61402.632,18085.96893,20176.74911
01/09/2023,28193.29153,60005.6758,1350.69974,3732.57919,164466.3568,65559.71,16496.04043,22192.58066
01/08/2023,28504.16694,78184.50094,1340.51885,4243.62244,199993.0422,69744.023,21145.86624,25350.26673
01/07/2023,27867.90946,78909.85665,1303.27473,4170.15204,200506.7592,69887.588,21237.80849,26538.55725
01/06/2023,27505.93547,57697.75156,1272.71967,3977.42602,161692.7028,64965.076,19470.63281,25034.48613
01/05/2023,32018.24592,43852.22406,1370.71958,4149.08062,137795.2922,61472.883,27479.13413,24462.3751
01/04/2023,43017.20057,40078.66802,1347.01623,3508.05934,120477.9842,56662.458,17481.3198,21501.94859
01/03/2023,44527.11026,50067.28079,1380.17226,3976.06353,132152.688,62820.443,20227.59757,18130.90619
01/02/2023,42058.41902,46487.92774,1301.75861,3893.37836,123920.7292,60806.857,18682.48569,13641.70172
01/01/2023,39166.5977,61290.8751,1558.00443,4463.68408,137541.4208,70870.08,22288.30082,11963.78669
01/12/2022,38679.53194,73380.89229,1481.98443,4352.88469,140715.5326,69094.147,20429.54086,10475.48995
01/11/2022,41198.8465,56376.96293,1396.71915,4183.24678,127523.4363,62041.287,17898.14767,12437.95751
01/10/2022,32744.63415,54228.45722,1298.47185,3992.71173,133491.5392,58945.383,14367.41841,16964.17077
01/09/2022,27331.13356,64998.31931,1329.38389,4179.1352,156947.8524,63733.186,17026.14725,18830.90672
01/08/2022,24718.4162,85214.64958,1354.00976,4584.99488,188859.6344,68896.917,21132.94901,20697.2015
01/07/2022,29474.97824,86414.97062,1341.4768,4682.11882,189042.1596,68856.919,24567.4546,22203.83016
01/06/2022,33767.53068,73463.10379,1276.39022,4417.42792,155517.0049,65715.42,25987.79518,22282.06831
01/05/2022,42123.69758,62531.74438,1327.05142,4275.76999,127093.5551,63381.62449,23358.77956,21356.56223
01/04/2022,46167.09477,55329.13354,1282.07857,4078.38288,105505.8211,55289.54,20065.83638,19073.03688
01/03/2022,43030.54797,61018.7735,1286.33731,4359.98769,112477.2522,63153.701,24436.41649,16815.69305
01/02/2022,37644.62607,70966.37798,1242.88441,4202.72041,114945.4142,61852.177,21320.56822,12743.87856
01/01/2022,37416.32051,87588.22693,1470.14119,4537.59468,134947.5141,70576.875,24197.61344,11198.35638
01/12/2021,39849.02762,60024.59585,1484.42193,4670.07209,127586.4301,70719.837,23561.87556,9061.0693
